problem,dataset,platform,seed,num_points,best_p,best_ar,mean_ar,total_runtime_sec,mean_runtime_sec,total_nfev,total_objective_evals
maxcut,n15,CUDA-Q,,4,4,0.8157,0.78675,15.499999999999998,3.875,249.0,249.0
maxcut,n15,PennyLane,,4,4,0.8127,0.7893749999999999,9.54,2.385,227.0,227.0
maxcut,n15,Qiskit,,4,3,0.819,0.7891,9.120000000000001,2.2800000000000002,223.0,223.0
maxcut,n20,CUDA-Q,,4,4,0.9147,0.85155,44.230000000000004,11.057500000000001,263.0,263.0
maxcut,n20,PennyLane,,4,4,0.8698,0.8295,18.96,4.74,244.0,244.0
maxcut,n20,Qiskit,,4,4,0.897,0.853475,17.310000000000002,4.327500000000001,259.0,259.0
maxcut,n4,CUDA-Q,,4,3,0.9971,0.93495,1.35,0.3375,259.0,259.0
maxcut,n4,PennyLane,,4,3,0.9971,0.8820749999999999,3.29,0.8225,231.0,231.0
maxcut,n4,Qiskit,,4,4,1.0,0.938825,3.95,0.9875,290.0,290.0
maxsat,n15,CUDA-Q,,4,4,0.9717,0.9683,4.970000000000001,1.2425,244.0,244.0
maxsat,n15,PennyLane,,4,3,0.9712,0.96835,8.81,2.2025,210.0,210.0
maxsat,n15,Qiskit,,4,4,0.9732,0.968975,7.4,1.85,229.0,229.0
maxsat,n20,CUDA-Q,,4,2,0.925,0.911625,13.51,3.3775,281.0,281.0
maxsat,n20,PennyLane,,4,3,0.9499,0.9117,17.59,4.3975,235.0,235.0
maxsat,n20,Qiskit,,4,3,0.9394,0.907225,13.04,3.2600000000000002,231.0,231.0
maxsat,n4,CUDA-Q,,4,1,0.9993,0.99675,1.2400000000000002,0.31,245.0,245.0
maxsat,n4,PennyLane,,4,1,0.9993,0.98895,4.08,1.02,228.0,228.0
maxsat,n4,Qiskit,,4,1,1.0,0.9980249999999999,3.17,0.7925,207.0,207.0
mis,n15,CUDA-Q,,4,4,0.2923,0.1048,4.01,1.0025,248.0,248.0
mis,n15,PennyLane,,4,4,0.2931,0.10497500000000001,6.78,1.695,232.0,232.0
mis,n15,Qiskit,,4,4,0.27,0.10967500000000001,6.9399999999999995,1.7349999999999999,248.0,248.0
mis,n20,CUDA-Q,,4,3,0.0527,0.03605,9.08,2.27,251.0,251.0
mis,n20,PennyLane,,4,4,0.0858,0.04685,11.850000000000001,2.9625,207.0,207.0
mis,n20,Qiskit,,4,4,0.0445,0.035449999999999995,9.95,2.4875,228.0,228.0
mis,n4,CUDA-Q,,4,3,0.8506,0.38634999999999997,1.2000000000000002,0.30000000000000004,228.0,228.0
mis,n4,PennyLane,,4,2,0.998,0.639875,3.59,0.8975,234.0,234.0
mis,n4,Qiskit,,4,3,0.7959,0.40685000000000004,3.5300000000000002,0.8825,238.0,238.0
