problem,platform,num_dataset_seed_groups,best_ar_mean,best_ar_std,total_runtime_mean,total_runtime_std
maxcut,CUDA-Q,3,0.9091666666666667,0.07415952774630888,20.360000000000003,17.839811284502613
maxcut,Qiskit,3,0.9053333333333334,0.0741275177575028,10.126666666666667,5.50045048660158
maxcut,PennyLane,3,0.8931999999999999,0.07707792593646165,10.596666666666666,6.440736672841772
maxsat,PennyLane,3,0.9734666666666666,0.02023105423737368,10.16,5.597433935891219
maxsat,Qiskit,3,0.9708666666666667,0.024794802322709125,7.87,4.043092875510035
maxsat,CUDA-Q,3,0.9653333333333333,0.030665108656075017,6.573333333333333,5.13590195475818
mis,PennyLane,3,0.4589666666666667,0.3904365277765673,7.406666666666667,3.4011207303214372
mis,CUDA-Q,3,0.39853333333333335,0.3342905356456001,4.763333333333333,3.260800855958889
mis,Qiskit,3,0.37013333333333337,0.3148232343536431,6.806666666666666,2.6226492119398825
